abspm,hw_group,aadt,total_spf,fi_spf
0.0001,UFOF,87000,0.433339657,0.10388702
0.3481,UFOF,87000,0.433339657,0.10388702
0.413,UFOF,87000,0.433339657,0.10388702
0.413100023,USIF,87000,0.285083709,0.074297923
0.646000023,USIF,87000,0.285083709,0.074297923
0.646099825,UEIF,87000,0.318043572,0.086277956
0.849999825,UEIF,87000,0.318043572,0.086277956
0.850099821,USIF,87000,0.285083709,0.074297923
0.912000095,USIF,87000,0.285083709,0.074297923
0.912100095,USIF,95000,0.30604291,0.078376041
0.982999821,USIF,95000,0.30604291,0.078376041
0.983100192,UEIF,95000,0.347599032,0.096900436
1.428000192,UEIF,95000,0.347599032,0.096900436
1.428099889,USIF,95000,0.30604291,0.078376041
1.503999889,USIF,95000,0.30604291,0.078376041
1.5041,UEIF,95000,0.347599032,0.096900436
1.965999996,UEIF,95000,0.347599032,0.096900436
1.966099996,UEIF,94000,0.343903173,0.095556405
2.099999821,UEIF,94000,0.343903173,0.095556405
2.100099821,UEIF,127500,0.467909145,0.142886471
4.230999863,UEIF,127500,0.467909145,0.142886471
4.231099863,UEIF,126000,0.462348818,0.140671884
5.31,UEIF,126000,0.462348818,0.140671884
5.3101,UEIF,126000,0.462348818,0.140671884
5.3101,UEIF,126000,0.462348818,0.140671884
5.362000381,UEIF,126000,0.462348818,0.140671884
6.58,UEIF,126000,0.462348818,0.140671884
6.5801,UEIF,126000,0.462348818,0.140671884
7.073,UEIF,126000,0.462348818,0.140671884
7.073100011,UEIF,126000,0.462348818,0.140671884
7.298999963,UEIF,126000,0.462348818,0.140671884
7.299099963,UEIF,126000,0.462348818,0.140671884
7.819000011,UEIF,126000,0.462348818,0.140671884
7.819000063,UEIF,126000,0.462348818,0.140671884
7.819100063,UEIF,101500,0.371631559,0.105745732
7.819100063,UEIF,101500,0.371631559,0.105745732
8.111000063,UEIF,101500,0.371631559,0.105745732
8.111100118,USIF,101500,0.322820926,0.081591041
8.112000046,USIF,101500,0.322820926,0.081591041
8.112100046,USIF,147000,0.435191395,0.102176055
8.312000118,USIF,147000,0.435191395,0.102176055
8.312100094,UEIF,147000,0.540251171,0.172413118
8.374000094,UEIF,147000,0.540251171,0.172413118
8.374099891,USIF,147000,0.435191395,0.102176055
8.548999891,USIF,147000,0.435191395,0.102176055
8.549100082,UEIF,147000,0.540251171,0.172413118
8.810000082,UEIF,147000,0.540251171,0.172413118
8.8101,UEIF,147000,0.540251171,0.172413118
8.938,UEIF,147000,0.540251171,0.172413118
8.938100021,UEIF,147000,0.540251171,0.172413118
9.031000021,UEIF,147000,0.540251171,0.172413118
9.031099957,UEIF,147000,0.540251171,0.172413118
9.096000013,UEIF,147000,0.540251171,0.172413118
9.096100013,UEIF,139500,0.512415031,0.160898381
9.162999957,UEIF,139500,0.512415031,0.160898381
9.163099926,UEIF,139500,0.512415031,0.160898381
9.586999926,UEIF,139500,0.512415031,0.160898381
9.58709995,UEIF,139500,0.512415031,0.160898381
9.71999995,UEIF,139500,0.512415031,0.160898381
9.720099844,UEIF,139500,0.512415031,0.160898381
9.891999779,UEIF,139500,0.512415031,0.160898381
9.892099779,UEIF,135000,0.495720583,0.154083358
11.13299995,UEIF,135000,0.495720583,0.154083358
11.13309995,UEIF,133500,0.490157013,0.151827668
11.78699984,UEIF,133500,0.490157013,0.151827668
11.78710024,UEIF,133500,0.490157013,0.151827668
11.92999989,UEIF,133500,0.490157013,0.151827668
12.20900024,UEIF,133500,0.490157013,0.151827668
12.20910024,UEIF,133500,0.490157013,0.151827668
12.38400024,UEIF,133500,0.490157013,0.151827668
12.38410024,UEIF,133500,0.490157013,0.151827668
12.62100024,UEIF,133500,0.490157013,0.151827668
12.62110024,UEIF,133500,0.490157013,0.151827668
13.08100024,UEIF,133500,0.490157013,0.151827668
13.09409992,USIF,133500,0.402662863,0.0963688
13.34599992,USIF,133500,0.402662863,0.0963688
13.3461,USIF,133500,0.402662863,0.0963688
13.3461,USIF,91000,0.295607903,0.076354581
13.409,USIF,91000,0.295607903,0.076354581
13.4091,UEIF,91000,0.332818006,0.091551844
13.56200001,UEIF,91000,0.332818006,0.091551844
13.56210001,UEIF,93000,0.340207713,0.094216941
14.346,UEIF,93000,0.340207713,0.094216941
14.3461,UEIF,98000,0.358688962,0.100959602
14.931,UEIF,98000,0.358688962,0.100959602
14.93110004,USIF,98000,0.313813338,0.079870277
15.017,USIF,98000,0.313813338,0.079870277
15.0171,USIF,91000,0.295607903,0.076354581
15.06400004,USIF,91000,0.295607903,0.076354581
15.06410005,UEIF,91000,0.332818006,0.091551844
15.38500005,UEIF,91000,0.332818006,0.091551844
15.38510003,UEIF,91000,0.332818006,0.091551844
15.38599996,UEIF,91000,0.332818006,0.091551844
15.38609996,UEIF,104000,0.380879054,0.109196976
15.50300003,UEIF,104000,0.380879054,0.109196976
15.50310006,UEIF,104000,0.380879054,0.109196976
15.60300006,UEIF,104000,0.380879054,0.109196976
15.60309997,UEIF,104000,0.380879054,0.109196976
15.96499996,UEIF,104000,0.380879054,0.109196976
15.96499997,UEIF,104000,0.380879054,0.109196976
15.96509996,UEIF,104000,0.380879054,0.109196976
15.96509996,UEIF,102500,0.375330283,0.107123004
16.16799996,UEIF,102500,0.375330283,0.107123004
16.16810003,USIF,102500,0.325383407,0.082078389
16.30699997,USIF,102500,0.325383407,0.082078389
16.30709997,USIF,107000,0.336855545,0.084248757
16.75700001,USIF,107000,0.336855545,0.084248757
16.75710001,USIF,102500,0.325383407,0.082078389
17.14100008,USIF,102500,0.325383407,0.082078389
17.14110008,USIF,106000,0.334314386,0.083769599
17.68700008,USIF,106000,0.334314386,0.083769599
17.68710008,USIF,100500,0.320253553,0.081101805
17.92400003,USIF,100500,0.320253553,0.081101805
17.92410007,UEIF,100500,0.367933205,0.104372793
18.09300007,UEIF,100500,0.367933205,0.104372793
18.09310022,UEIF,100500,0.367933205,0.104372793
18.59199981,UEIF,100500,0.367933205,0.104372793
18.59209981,UEIF,100000,0.366084168,0.103687958
18.61400022,UEIF,100000,0.366084168,0.103687958
18.61410013,UEIF,100000,0.366084168,0.103687958
18.79100013,UEIF,100000,0.366084168,0.103687958
18.79110017,UEIF,100000,0.366084168,0.103687958
19.14500017,UEIF,100000,0.366084168,0.103687958
19.14509979,UEIF,100000,0.366084168,0.103687958
19.3289998,UEIF,100000,0.366084168,0.103687958
19.3290998,UEIF,92000,0.336512656,0.092882076
19.9459999,UEIF,92000,0.336512656,0.092882076
19.9460999,UEIF,96500,0.35314356,0.098924973
20.12399979,UEIF,96500,0.35314356,0.098924973
20.12409988,UEIF,96500,0.35314356,0.098924973
20.77099988,UEIF,96500,0.35314356,0.098924973
20.77110019,UEIF,96500,0.35314356,0.098924973
20.94300012,UEIF,96500,0.35314356,0.098924973
20.94310012,UEIF,98500,0.360537621,0.101640036
21.10200019,UEIF,98500,0.360537621,0.101640036
21.10210004,UEIF,98500,0.360537621,0.101640036
21.70600004,UEIF,98500,0.360537621,0.101640036
21.70609966,UEIF,98500,0.360537621,0.101640036
21.85400037,UEIF,98500,0.360537621,0.101640036
21.85410037,UEIF,92500,0.338360134,0.093548931
21.86999966,UEIF,92500,0.338360134,0.093548931
21.87010017,UEIF,92500,0.338360134,0.093548931
22.44500017,UEIF,92500,0.338360134,0.093548931
22.44509998,UEIF,92500,0.338360134,0.093548931
23.01699998,UEIF,92500,0.338360134,0.093548931
23.01709953,USIF,92500,0.299531234,0.077116638
23.40500002,USIF,92500,0.299531234,0.077116638
23.40510002,USIF,66500,0.229541674,0.063108883
24.03100042,USIF,66500,0.229541674,0.063108883
24.03110042,USIF,61500,0.215518892,0.060182496
24.04699953,USIF,61500,0.215518892,0.060182496
24.04710021,USIF,61500,0.215518892,0.060182496
26.09900026,USIF,61500,0.215518892,0.060182496
26.09910026,USIF,62500,0.218340576,0.060775035
26.83500032,USIF,62500,0.218340576,0.060775035
26.83510032,USIF,61500,0.215518892,0.060182496
27.48499994,USIF,61500,0.215518892,0.060182496
27.48500021,USIF,61500,0.215518892,0.060182496
