abspm,total_crp,fatal_crp,injury_crp,pdo_crp
0.100000001,0,0,0,0
0.109999999,0,0,0,0
0.119999997,0,0,0,0
0.129999995,0,0,0,0
0.140000001,0,0,0,0
0.150000006,0,0,0,0
0.159999996,0.027272727,0,0.009090909,0.018181818
0.170000002,0.054545455,0,0.018181818,0.036363636
0.180000007,0.081818182,0,0.027272727,0.054545455
0.189999998,0.109090909,0,0.036363636,0.072727273
0.200000003,0.154545455,0,0.054545455,0.1
0.209999993,0.236363636,0,0.090909091,0.145454545
0.219999999,0.4,0,0.163636364,0.236363636
0.230000004,0.581818182,0,0.245454545,0.336363636
0.239999995,0.781818182,0,0.327272727,0.454545455
0.25,0.981818182,0,0.409090909,0.572727273
0.25999999,1.154545455,0,0.481818182,0.672727273
0.270000011,1.327272727,0,0.554545455,0.772727273
0.280000001,1.5,0,0.627272727,0.872727273
0.289999992,1.672727273,0,0.7,0.972727273
0.300000012,1.836363636,0,0.772727273,1.063636364
0.310000002,1.945454545,0,0.818181818,1.127272727
0.319999993,1.936363636,0,0.809090909,1.127272727
0.330000013,1.827272727,0,0.754545455,1.072727273
0.340000004,1.681818182,0,0.690909091,0.990909091
0.349999994,1.518181818,0,0.627272727,0.890909091
0.360000014,1.372727273,0,0.563636364,0.809090909
0.370000005,1.227272727,0,0.5,0.727272727
0.379999995,1.090909091,0,0.436363636,0.654545455
0.389999986,0.963636364,0,0.381818182,0.581818182
0.400000006,0.827272727,0,0.318181818,0.509090909
0.409999996,0.7,0,0.254545455,0.445454545
0.419999987,0.609090909,0,0.209090909,0.4
0.430000007,0.609090909,0,0.209090909,0.4
0.439999998,0.627272727,0,0.218181818,0.409090909
0.449999988,0.663636364,0,0.227272727,0.436363636
0.460000008,0.681818182,0,0.236363636,0.445454545
0.469999999,0.681818182,0,0.245454545,0.436363636
0.479999989,0.672727273,0,0.254545455,0.418181818
0.49000001,0.618181818,0,0.245454545,0.372727273
0.5,0.554545455,0,0.227272727,0.327272727
0.50999999,0.5,0,0.218181818,0.281818182
0.519999981,0.454545455,0,0.218181818,0.236363636
0.529999971,0.4,0,0.209090909,0.190909091
0.540000021,0.336363636,0,0.190909091,0.145454545
0.550000012,0.272727273,0,0.172727273,0.1
0.560000002,0.272727273,0,0.163636364,0.109090909
0.569999993,0.290909091,0,0.154545455,0.136363636
0.579999983,0.309090909,0,0.145454545,0.163636364
0.589999974,0.363636364,0,0.145454545,0.218181818
0.600000024,0.427272727,0,0.154545455,0.272727273
0.610000014,0.509090909,0,0.172727273,0.336363636
0.620000005,0.618181818,0.009090909,0.190909091,0.418181818
0.629999995,0.718181818,0.018181818,0.2,0.5
0.639999986,0.827272727,0.027272727,0.218181818,0.581818182
0.649999976,0.945454545,0.036363636,0.236363636,0.672727273
0.660000026,1,0.045454545,0.245454545,0.709090909
0.670000017,0.990909091,0.054545455,0.245454545,0.690909091
0.680000007,0.981818182,0.063636364,0.245454545,0.672727273
