abspm,hw_group,aadt,total_spf,fi_spf
0.0001,USIF,77000,0.258349433,0.068986689
0.0001,USIF,77000,0.258349433,0.068986689
0.294,USIF,77000,0.258349433,0.068986689
0.2941,USIF,77000,0.258349433,0.068986689
0.669,USIF,77000,0.258349433,0.068986689
0.66910003,UEIF,77000,0.281138369,0.073435752
1.25,UEIF,77000,0.281138369,0.073435752
1.2501,UEIF,75000,0.273762972,0.070928669
2.075000048,UEIF,75000,0.273762972,0.070928669
2.075100048,UEIF,74500,0.271919433,0.070305211
2.66700003,UEIF,74500,0.271919433,0.070305211
2.667000055,UEIF,74500,0.271919433,0.070305211
2.667100055,UEIF,71000,0.259018219,0.065978793
2.667100055,USIF,71000,0.241988285,0.065669534
3.565000057,USIF,71000,0.241988285,0.065669534
3.565100057,USIF,73000,0.247470692,0.066787062
4.011000055,USIF,73000,0.247470692,0.066787062
4.011100156,UEIF,73000,0.266389571,0.068442884
4.078000069,UEIF,73000,0.266389571,0.068442884
4.078100069,UEIF,75500,0.275606636,0.071553458
4.134000156,UEIF,75500,0.275606636,0.071553458
4.134099825,USIF,75500,0.254283032,0.06816721
4.275000095,USIF,75500,0.254283032,0.06816721
4.275100095,USIF,73500,0.248836726,0.067064558
4.311999825,USIF,73500,0.248836726,0.067064558
4.312099798,UFOF,73500,0.34268466,0.085323904
5.135999798,UFOF,73500,0.34268466,0.085323904
5.136100156,UFOF,73500,0.34268466,0.085323904
5.336999893,UFOF,73500,0.34268466,0.085323904
5.337000156,UFOF,73500,0.34268466,0.085323904
5.337099893,UFOF,68000,0.307522875,0.077918028
5.337099893,UFOF,68000,0.307522875,0.077918028
6.700999893,UFOF,68000,0.307522875,0.077918028
6.701100214,USIF,68000,0.233708144,0.063969783
6.711999893,USIF,68000,0.233708144,0.063969783
6.712099893,USIF,71000,0.241988285,0.065669534
6.923000214,USIF,71000,0.241988285,0.065669534
6.923099859,UEIF,71000,0.259018219,0.065978793
7.489999859,UEIF,71000,0.259018219,0.065978793
7.490099771,USIF,71000,0.241988285,0.065669534
7.689999771,USIF,71000,0.241988285,0.065669534
7.690000057,USIF,71000,0.241988285,0.065669534
7.690100057,USIF,66500,0.229541674,0.063108883
7.690100057,UEIF,66500,0.242440471,0.06051608
8.089000057,UEIF,66500,0.242440471,0.06051608
8.089099748,USIF,66500,0.229541674,0.063108883
8.421999931,USIF,66500,0.229541674,0.063108883
8.422099931,USIF,87500,0.286404274,0.074557005
10.40699959,USIF,87500,0.286404274,0.074557005
10.40709959,USIF,88000,0.287723379,0.074815507
10.50199975,USIF,88000,0.287723379,0.074815507
10.50199986,USIF,88000,0.287723379,0.074815507
10.5021,USIF,88000,0.287723379,0.074815507
10.5021,USIF,88000,0.287723379,0.074815507
11.932,USIF,88000,0.287723379,0.074815507
11.93209995,UEIF,88000,0.321736547,0.0875893
12.17299995,UEIF,88000,0.321736547,0.0875893
12.1731,USIF,88000,0.287723379,0.074815507
12.50999999,USIF,88000,0.287723379,0.074815507
12.51009999,USIF,82000,0.271795502,0.071674112
12.747,USIF,82000,0.271795502,0.071674112
12.74709998,UEIF,82000,0.29958526,0.079794198
12.97599998,UEIF,82000,0.29958526,0.079794198
12.97610007,UEIF,82000,0.29958526,0.079794198
13.22200007,UEIF,82000,0.29958526,0.079794198
13.22209989,UEIF,82000,0.29958526,0.079794198
13.47399998,UEIF,82000,0.29958526,0.079794198
13.47409998,UEIF,80500,0.294049962,0.077873268
13.74699989,UEIF,80500,0.294049962,0.077873268
13.74709998,UEIF,80500,0.294049962,0.077873268
13.99699998,UEIF,80500,0.294049962,0.077873268
13.99709998,UEIF,80500,0.294049962,0.077873268
14.32799998,UEIF,80500,0.294049962,0.077873268
14.32809983,UEIF,80500,0.294049962,0.077873268
14.74499983,UEIF,80500,0.294049962,0.077873268
14.74510013,UEIF,80500,0.294049962,0.077873268
14.93899989,UEIF,80500,0.294049962,0.077873268
14.93909989,UEIF,91000,0.332818006,0.091551844
15.23900013,UEIF,91000,0.332818006,0.091551844
15.23910008,UEIF,91000,0.332818006,0.091551844
15.54200008,UEIF,91000,0.332818006,0.091551844
15.54210006,UEIF,91000,0.332818006,0.091551844
16.46599984,UEIF,91000,0.332818006,0.091551844
16.46609984,UEIF,95500,0.34944711,0.097574154
16.67000006,UEIF,95500,0.34944711,0.097574154
16.67009984,UEIF,95500,0.34944711,0.097574154
17.20799984,UEIF,95500,0.34944711,0.097574154
17.20809995,UEIF,95500,0.34944711,0.097574154
17.41600013,UEIF,95500,0.34944711,0.097574154
17.41610013,UEIF,103000,0.377179783,0.107813256
17.83299995,UEIF,103000,0.377179783,0.107813256
17.83309995,UEIF,103000,0.377179783,0.107813256
18.42699995,UEIF,103000,0.377179783,0.107813256
18.42709981,UEIF,103000,0.377179783,0.107813256
18.56299981,UEIF,103000,0.377179783,0.107813256
18.56310044,UEIF,103000,0.377179783,0.107813256
18.76700044,UEIF,103000,0.377179783,0.107813256
18.76709996,UEIF,103000,0.377179783,0.107813256
19.06900001,UEIF,103000,0.377179783,0.107813256
19.06910001,UEIF,106000,0.388278677,0.111977176
19.99299996,UEIF,106000,0.388278677,0.111977176
19.99309979,UEIF,106000,0.388278677,0.111977176
20.29299979,UEIF,106000,0.388278677,0.111977176
20.29309998,UEIF,106000,0.388278677,0.111977176
20.52700019,UEIF,106000,0.388278677,0.111977176
20.52710019,UEIF,105000,0.384578687,0.110584958
20.91399998,UEIF,105000,0.384578687,0.110584958
20.91410028,UEIF,105000,0.384578687,0.110584958
21.49200028,UEIF,105000,0.384578687,0.110584958
21.49210034,UEIF,105000,0.384578687,0.110584958
21.63100028,UEIF,105000,0.384578687,0.110584958
21.63110028,UEIF,105000,0.384578687,0.110584958
23.05200034,UEIF,105000,0.384578687,0.110584958
23.05209981,USIF,105000,0.331768583,0.083288663
23.05599981,USIF,105000,0.331768583,0.083288663
23.05610047,UEIF,105000,0.384578687,0.110584958
23.27799964,UEIF,105000,0.384578687,0.110584958
23.27809964,UEIF,110000,0.403082145,0.11758786
23.46200047,UEIF,110000,0.403082145,0.11758786
23.46209966,UEIF,110000,0.403082145,0.11758786
23.89599967,UEIF,110000,0.403082145,0.11758786
23.89609967,UEIF,108000,0.395679716,0.114774208
24.58499966,UEIF,108000,0.395679716,0.114774208
24.5850998,UEIF,108000,0.395679716,0.114774208
24.7639997,UEIF,108000,0.395679716,0.114774208
24.7640997,UEIF,114500,0.419742569,0.123978286
24.9069998,UEIF,114500,0.419742569,0.123978286
24.90710031,UEIF,114500,0.419742569,0.123978286
25.67300031,UEIF,114500,0.419742569,0.123978286
25.6731001,UEIF,114500,0.419742569,0.123978286
25.87200046,UEIF,114500,0.419742569,0.123978286
25.87210046,UEIF,115500,0.423445796,0.125409438
26.92299915,UEIF,115500,0.423445796,0.125409438
26.92309915,UEIF,129500,0.475323945,0.145852232
27.1840001,UEIF,129500,0.475323945,0.145852232
27.18410073,UEIF,129500,0.475323945,0.145852232
27.83100009,UEIF,129500,0.475323945,0.145852232
27.83110009,UEIF,137000,0.503139652,0.157103429
28.25600073,UEIF,137000,0.503139652,0.157103429
28.25609933,UEIF,137000,0.503139652,0.157103429
28.58000064,UEIF,137000,0.503139652,0.157103429
28.58010064,UEIF,134000,0.492011466,0.152578668
28.58299933,UEIF,134000,0.492011466,0.152578668
28.5831009,UEIF,134000,0.492011466,0.152578668
28.5990009,UEIF,134000,0.492011466,0.152578668
28.59909974,UEIF,134000,0.492011466,0.152578668
28.83399974,UEIF,134000,0.492011466,0.152578668
28.83410035,USIF,134000,0.403878631,0.096587882
28.94500035,USIF,134000,0.403878631,0.096587882
28.94510041,UEIF,134000,0.492011466,0.152578668
30.38900066,UEIF,134000,0.492011466,0.152578668
30.38910066,UEIF,121500,0.445671899,0.134078909
30.57000041,UEIF,121500,0.445671899,0.134078909
30.57010041,UEIF,121500,0.445671899,0.134078909
30.64900041,UEIF,121500,0.445671899,0.134078909
30.64910089,UEIF,121500,0.445671899,0.134078909
30.9049995,UEIF,121500,0.445671899,0.134078909
30.90500089,UEIF,121500,0.445671899,0.134078909
30.9050995,UEIF,121500,0.445671899,0.134078909
30.9050995,UEIF,116500,0.42714935,0.12684456
31.1169995,UEIF,116500,0.42714935,0.12684456
31.11709939,UEIF,116500,0.42714935,0.12684456
31.15799939,UEIF,116500,0.42714935,0.12684456
31.15809976,USIF,116500,0.360774403,0.088716305
31.20799976,USIF,116500,0.360774403,0.088716305
31.2081009,UEIF,116500,0.42714935,0.12684456
31.3160009,UEIF,116500,0.42714935,0.12684456
31.3161007,UEIF,116500,0.42714935,0.12684456
32.9520007,UEIF,116500,0.42714935,0.12684456
32.95210038,UEIF,116500,0.42714935,0.12684456
33.06399989,UEIF,116500,0.42714935,0.12684456
33.06409989,UEIF,114500,0.419742569,0.123978286
33.22700038,UEIF,114500,0.419742569,0.123978286
33.2271,UEIF,114500,0.419742569,0.123978286
33.727,UEIF,114500,0.419742569,0.123978286
33.7271,UEIF,114500,0.419742569,0.123978286
33.8709991,UEIF,114500,0.419742569,0.123978286
33.8710991,UEIF,111000,0.406783874,0.119000854
34.9940002,UEIF,111000,0.406783874,0.119000854
34.9941002,UEIF,104500,0.382728826,0.109890436
35.073,UEIF,104500,0.382728826,0.109890436
35.07310067,UEIF,104500,0.382728826,0.109890436
35.31100067,UEIF,104500,0.382728826,0.109890436
35.31109963,UEIF,104500,0.382728826,0.109890436
35.72399974,UEIF,104500,0.382728826,0.109890436
35.72409974,UEIF,111000,0.406783874,0.119000854
35.80299963,UEIF,111000,0.406783874,0.119000854
35.80310021,UEIF,111000,0.406783874,0.119000854
36.19300021,UEIF,111000,0.406783874,0.119000854
36.1930996,UEIF,111000,0.406783874,0.119000854
36.83400035,UEIF,111000,0.406783874,0.119000854
36.83410035,UEIF,111500,0.408634865,0.119708882
37.1269996,UEIF,111500,0.408634865,0.119708882
37.12709962,UEIF,111500,0.408634865,0.119708882
37.71299962,UEIF,111500,0.408634865,0.119708882
37.71310006,UEIF,111500,0.408634865,0.119708882
37.93599963,UEIF,111500,0.408634865,0.119708882
37.93609963,UEIF,108000,0.395679716,0.114774208
38.91400027,UEIF,108000,0.395679716,0.114774208
38.91410027,UEIF,104000,0.380879054,0.109196976
39.16100002,UEIF,104000,0.380879054,0.109196976
39.16110002,UEIF,111000,0.406783874,0.119000854
40.02699924,UEIF,111000,0.406783874,0.119000854
40.02709924,UEIF,110500,0.404932967,0.118293846
40.60699916,UEIF,110500,0.404932967,0.118293846
40.60709916,UEIF,108500,0.397530194,0.115476071
41.3179996,UEIF,108500,0.397530194,0.115476071
41.31800006,UEIF,108500,0.397530194,0.115476071
41.3180996,UEIF,97500,0.356840398,0.100280277
41.3180996,UEIF,97500,0.356840398,0.100280277
41.45699954,UEIF,97500,0.356840398,0.100280277
41.45709954,UEIF,99500,0.364235225,0.103004218
41.8149996,UEIF,99500,0.364235225,0.103004218
41.81509934,UEIF,99500,0.364235225,0.103004218
41.90599934,UEIF,99500,0.364235225,0.103004218
41.90610085,USIF,99500,0.317681231,0.080610653
41.90799976,USIF,99500,0.317681231,0.080610653
41.90809976,USIF,67000,0.230932499,0.063396689
42.14400085,USIF,67000,0.230932499,0.063396689
42.14409982,UEIF,67000,0.244281894,0.061117366
43.29200092,UEIF,67000,0.244281894,0.061117366
43.29210092,UEIF,73000,0.266389571,0.068442884
43.42999982,UEIF,73000,0.266389571,0.068442884
43.43009912,USIF,73000,0.247470692,0.066787062
43.77200046,USIF,73000,0.247470692,0.066787062
43.77210046,USIF,63500,0.221153536,0.061363863
43.79599912,USIF,63500,0.221153536,0.061363863
43.79610024,UEIF,63500,0.231394916,0.056938964
44.14700024,UEIF,63500,0.231394916,0.056938964
44.1471,UEIF,63500,0.231394916,0.056938964
44.4,UEIF,63500,0.231394916,0.056938964
44.40010034,UFOF,63500,0.27956841,0.071932515
44.68200031,UFOF,63500,0.27956841,0.071932515
44.68210031,UFOF,31500,0.105365,0.031731928
45.20200076,UFOF,31500,0.105365,0.031731928
45.20210076,UFOF,34000,0.117182954,0.034691018
45.69800034,UFOF,34000,0.117182954,0.034691018
45.90200153,UFOF,34000,0.117182954,0.034691018
