abspm,total_crp,fatal_crp,injury_crp,pdo_crp
0.100000001,0,0,0,0
0.109999999,0,0,0,0
0.119999997,0,0,0,0
0.129999995,0,0,0,0
0.140000001,0.009090909,0,0,0.009090909
0.150000006,0.018181818,0,0,0.018181818
0.159999996,0.027272727,0,0,0.027272727
0.170000002,0.036363636,0,0,0.036363636
0.180000007,0.045454545,0,0,0.045454545
0.189999998,0.054545455,0,0,0.054545455
0.200000003,0.063636364,0,0,0.063636364
0.209999993,0.072727273,0,0,0.072727273
0.219999999,0.081818182,0,0,0.081818182
0.230000004,0.090909091,0,0,0.090909091
0.239999995,0.090909091,0,0,0.090909091
0.25,0.081818182,0,0,0.081818182
0.25999999,0.072727273,0,0,0.072727273
0.270000011,0.063636364,0,0,0.063636364
0.280000001,0.063636364,0,0.009090909,0.054545455
0.289999992,0.063636364,0,0.018181818,0.045454545
0.300000012,0.063636364,0,0.027272727,0.036363636
0.310000002,0.063636364,0,0.036363636,0.027272727
0.319999993,0.063636364,0,0.045454545,0.018181818
0.330000013,0.063636364,0,0.054545455,0.009090909
0.340000004,0.072727273,0,0.063636364,0.009090909
0.349999994,0.090909091,0,0.072727273,0.018181818
0.360000014,0.109090909,0,0.081818182,0.027272727
0.370000005,0.136363636,0,0.090909091,0.045454545
0.379999995,0.154545455,0,0.090909091,0.063636364
0.389999986,0.163636364,0,0.081818182,0.081818182
0.400000006,0.2,0,0.081818182,0.118181818
0.409999996,0.236363636,0,0.081818182,0.154545455
0.419999987,0.272727273,0,0.081818182,0.190909091
0.430000007,0.309090909,0,0.081818182,0.227272727
0.439999998,0.336363636,0,0.081818182,0.254545455
0.449999988,0.363636364,0,0.090909091,0.272727273
0.460000008,0.4,0,0.1,0.3
0.469999999,0.427272727,0,0.109090909,0.318181818
0.479999989,0.445454545,0,0.118181818,0.327272727
0.49000001,0.472727273,0,0.136363636,0.336363636
0.5,0.472727273,0,0.145454545,0.327272727
0.50999999,0.490909091,0,0.154545455,0.336363636
0.519999981,0.518181818,0,0.163636364,0.354545455
0.529999971,0.554545455,0,0.172727273,0.381818182
0.540000021,0.590909091,0,0.181818182,0.409090909
0.550000012,0.627272727,0,0.181818182,0.445454545
0.560000002,0.645454545,0,0.172727273,0.472727273
0.569999993,0.654545455,0,0.163636364,0.490909091
0.579999983,0.672727273,0,0.154545455,0.518181818
0.589999974,0.690909091,0,0.145454545,0.545454545
0.600000024,0.709090909,0,0.136363636,0.572727273
0.610000014,0.727272727,0,0.136363636,0.590909091
0.620000005,0.690909091,0,0.127272727,0.563636364
0.629999995,0.645454545,0,0.118181818,0.527272727
0.639999986,0.590909091,0,0.109090909,0.481818182
0.649999976,0.545454545,0,0.1,0.445454545
0.660000026,0.518181818,0,0.109090909,0.409090909
0.670000017,0.5,0,0.118181818,0.381818182
0.680000007,0.481818182,0,0.127272727,0.354545455
0.689999998,0.463636364,0,0.136363636,0.327272727
0.699999988,0.445454545,0,0.145454545,0.3
